"id","state","city","city_ibge_code","confirmed","confirmed_per_100k_inhabitants","date","death_rate","deaths","estimated_population_2019","update_source"
7546,"PI","Pau D'Arco do Piauí","2207793",4,"98.88752","2020-05-22","0",0,4045,""
7547,"PI","Paulistana","2207801",1,"4.87258","2020-05-22","0",0,20523,""
7548,"PI","Pavussu","2207850",1,"27.19608","2020-05-22","1",1,3677,""
7549,"PI","Pedro II","2207900",30,"77.43534","2020-05-22","0.0333",1,38742,""
7550,"PI","Pedro Laurentino","2207934",1,"39.43218","2020-05-22","0",0,2536,""
7551,"PI","Picos","2208007",146,"186.64826","2020-05-22","0.0274",4,78222,""
7552,"PI","Pimenteiras","2208106",7,"57.72244","2020-05-22","0",0,12127,""
7553,"PI","Pio IX","2208205",12,"65.1289","2020-05-22","0",0,18425,""
7554,"PI","Piracuruca","2208304",18,"62.51954","2020-05-22","0.1111",2,28791,""
7555,"PI","Piripiri","2208403",58,"90.99181","2020-05-22","0.0172",1,63742,""
7556,"PI","Porto","2208502",1,"7.95672","2020-05-22","0",0,12568,""
7557,"PI","Queimada Nova","2208650",7,"77.84698","2020-05-22","0",0,8992,""
7558,"PI","Redenção do Gurguéia","2208700",1,"11.39212","2020-05-22","0",0,8778,""
7559,"PI","Regeneração","2208809",1,"5.56235","2020-05-22","0",0,17978,""
7560,"PI","Ribeira do Piauí","2208874",1,"22.33639","2020-05-22","0",0,4477,""
7561,"PI","Ribeiro Gonçalves","2208908",3,"40.86637","2020-05-22","0",0,7341,""
7562,"PI","Rio Grande do Piauí","2209005",6,"93.28358","2020-05-22","0.1667",1,6432,""
7563,"PI","Santa Cruz do Piauí","2209104",1,"16.02564","2020-05-22","0",0,6240,""
7564,"PI","Santa Luz","2209302",1,"17.06485","2020-05-22","1",1,5860,""
7565,"PI","Santo Antônio de Lisboa","2209401",1,"15.58846","2020-05-22","0",0,6415,""
7566,"PI","São Francisco do Piauí","2209708",1,"15.56905","2020-05-22","1",1,6423,""
7567,"PI","São Gonçalo do Piauí","2209807",4,"79.76072","2020-05-22","0.25",1,5015,""
7568,"PI","São João da Canabrava","2209856",1,"21.70139","2020-05-22","0",0,4608,""
7569,"PI","São João do Piauí","2210003",8,"38.83307","2020-05-22","0",0,20601,""
7570,"PI","São José do Divino","2210052",5,"93.52787","2020-05-22","0.2",1,5346,""
7571,"PI","São José do Peixe","2210102",1,"26.70227","2020-05-22","0",0,3745,""
7572,"PI","São José do Piauí","2210201",2,"29.82849","2020-05-22","0",0,6705,""
7573,"PI","São Julião","2210300",7,"110.011","2020-05-22","0",0,6363,""
7574,"PI","São Lourenço do Piauí","2210359",1,"21.86748","2020-05-22","0",0,4573,""
7575,"PI","São Luis do Piauí","2210375",1,"37.82148","2020-05-22","0",0,2644,""
7576,"PI","São Miguel da Baixa Grande","2210383",1,"40.78303","2020-05-22","0",0,2452,""
7577,"PI","São Pedro do Piauí","2210508",11,"76.97152","2020-05-22","0",0,14291,""
7578,"PI","São Raimundo Nonato","2210607",39,"112.35955","2020-05-22","0",0,34710,""
7579,"PI","Sigefredo Pacheco","2210656",1,"9.95917","2020-05-22","0",0,10041,""
7580,"PI","Simplício Mendes","2210805",16,"125.87523","2020-05-22","0",0,12711,""
7581,"PI","Socorro do Piauí","2210904",1,"21.88663","2020-05-22","1",1,4569,""
7582,"PI","Teresina","2211001",1626,"188.01057","2020-05-22","0.0289",47,864845,""
7583,"PI","União","2211100",60,"134.87692","2020-05-22","0",0,44485,""
7584,"PI","Uruçuí","2211209",40,"185.54597","2020-05-22","0.05",2,21558,""
7585,"PI","Valença do Piauí","2211308",4,"19.12229","2020-05-22","0.25",1,20918,""
7586,"PI","Várzea Grande","2211407",1,"22.77386","2020-05-22","0",0,4391,""
7587,"PI","Vera Mendes","2211506",2,"64.99838","2020-05-22","0",0,3077,""
7588,"PI","Vila Nova do Piauí","2211605",2,"67.3174","2020-05-22","0",0,2971,""
8703,"SP","São Sebastião da Grama","3550803",6,"49.253","2020-05-23","0.1667",1,12182,""
8704,"SP","São Simão","3550902",1,"6.52656","2020-05-23","0",0,15322,""
8705,"SP","São Vicente","3551009",581,"158.83083","2020-05-23","0.0602",35,365798,""
8706,"SP","Sarapuí","3551108",5,"48.61449","2020-05-23","0",0,10285,""
8707,"SP","Sarutaiá","3551207",1,"27.48763","2020-05-23","0",0,3638,""
8708,"SP","Serra Azul","3551405",1,"6.82035","2020-05-23","0",0,14662,""
8709,"SP","Serrana","3551504",28,"62.07462","2020-05-23","0.1429",4,45107,""
8710,"SP","Serra Negra","3551603",5,"17.1063","2020-05-23","0",0,29229,""
8711,"SP","Sertãozinho","3551702",38,"30.20308","2020-05-23","0.1053",4,125815,""
8712,"SP","Sete Barras","3551801",2,"15.58603","2020-05-23","0",0,12832,""
8713,"SP","Severínia","3551900",7,"40.00914","2020-05-23","0",0,17496,""
8714,"SP","Socorro","3552106",7,"17.07109","2020-05-23","0.1429",1,41005,""
8715,"SP","Sorocaba","3552205",628,"92.43749","2020-05-23","0.0589",37,679378,""
8716,"SP","Sud Mennucci","3552304",4,"51.8269","2020-05-23","0",0,7718,""
8717,"SP","Sumaré","3552403",142,"50.27599","2020-05-23","0.0211",3,282441,""
8718,"SP","Suzano","3552502",520,"174.70946","2020-05-23","0.0808",42,297637,""
8719,"SP","Tabapuã","3552601",1,"8.05997","2020-05-23","0",0,12407,""
8720,"SP","Tabatinga","3552700",8,"48.49661","2020-05-23","0",0,16496,""
8721,"SP","Taboão da Serra","3552809",577,"199.19631","2020-05-23","0.0607",35,289664,""
8722,"SP","Taguaí","3553005",3,"21.64658","2020-05-23","0",0,13859,""
8723,"SP","Taiaçu","3553104",9,"142.97061","2020-05-23","0",0,6295,""
8724,"SP","Taiúva","3553203",1,"17.96622","2020-05-23","0",0,5566,""
8725,"SP","Tambaú","3553302",15,"64.63567","2020-05-23","0",0,23207,""
8726,"SP","Tanabi","3553401",7,"26.95729","2020-05-23","0",0,25967,""
8727,"SP","Tapiraí","3553500",10,"128.09018","2020-05-23","0",0,7807,""
8728,"SP","Tapiratiba","3553609",2,"15.4321","2020-05-23","0",0,12960,""
8729,"SP","Taquaritinga","3553708",6,"10.49373","2020-05-23","0",0,57177,""
8730,"SP","Taquarituba","3553807",5,"21.53502","2020-05-23","0",0,23218,""
8731,"SP","Taquarivaí","3553856",2,"34.17635","2020-05-23","0",0,5852,""
8732,"SP","Tarabai","3553906",4,"53.56186","2020-05-23","0",0,7468,""
8733,"SP","Tarumã","3553955",1,"6.66667","2020-05-23","0",0,15000,""
8734,"SP","Tatuí","3554003",89,"73.09101","2020-05-23","0.0674",6,121766,""
8735,"SP","Taubaté","3554102",79,"25.08542","2020-05-23","0.0506",4,314924,""
8736,"SP","Tejupá","3554201",2,"44.13063","2020-05-23","0",0,4532,""
8737,"SP","Teodoro Sampaio","3554300",4,"17.28011","2020-05-23","0",0,23148,""
8738,"SP","Terra Roxa","3554409",2,"21.34472","2020-05-23","0",0,9370,""
8739,"SP","Tietê","3554508",11,"26.14317","2020-05-23","0",0,42076,""
8740,"SP","Timburi","3554607",2,"75.24454","2020-05-23","0",0,2658,""
7589,"PB","Água Branca","2500106",1,"9.77135","2020-05-22","0",0,10234,""
7590,"PB","Aguiar","2500205",1,"17.7305","2020-05-22","0",0,5640,""
7591,"PB","Alagoa Grande","2500304",35,"122.82426","2020-05-22","0.0286",1,28496,""
7592,"PB","Alagoa Nova","2500403",8,"38.37114","2020-05-22","0.125",1,20849,""
7593,"PB","Alagoinha","2500502",47,"324.38402","2020-05-22","0",0,14489,""
7594,"PB","Alhandra","2500601",69,"352.25648","2020-05-22","0.058",4,19588,""
7595,"PB","Amparo","2500734",11,"491.51028","2020-05-22","0",0,2238,""
7596,"PB","Aparecida","2500775",1,"11.98035","2020-05-22","0",0,8347,""
7597,"PB","Araçagi","2500809",29,"170.71878","2020-05-22","0",0,16987,""
7598,"PB","Arara","2500908",6,"44.54343","2020-05-22","0",0,13470,""
7599,"PB","Araruna","2501005",1,"4.9232","2020-05-22","0",0,20312,""
7600,"PB","Areia","2501104",37,"162.14558","2020-05-22","0",0,22819,""
7601,"PB","Areial","2501203",4,"57.15919","2020-05-22","0",0,6998,""
7602,"PB","Aroeiras","2501302",13,"67.87448","2020-05-22","0",0,19153,""
7603,"PB","Baía da Traição","2501401",29,"322.47303","2020-05-22","0",0,8993,""
7604,"PB","Bananeiras","2501500",14,"65.6722","2020-05-22","0",0,21318,""
7605,"PB","Barra de Santana","2501575",9,"107.66838","2020-05-22","0",0,8359,""
7606,"PB","Barra de Santa Rosa","2501609",1,"6.50026","2020-05-22","0",0,15384,""
7607,"PB","Barra de São Miguel","2501708",1,"16.56726","2020-05-22","0",0,6036,""
7608,"PB","Bayeux","2501807",191,"197.15111","2020-05-22","0.0576",11,96880,""
7609,"PB","Belém","2501906",13,"73.54605","2020-05-22","0",0,17676,""
7610,"PB","Belém do Brejo do Cruz","2502003",1,"13.62027","2020-05-22","0",0,7342,""
7611,"PB","Boa Vista","2502151",3,"42.54716","2020-05-22","0",0,7051,""
7612,"PB","Bom Jesus","2502201",1,"39.04725","2020-05-22","0",0,2561,""
7613,"PB","Boqueirão","2502508",5,"28.08358","2020-05-22","0.2",1,17804,""
7614,"PB","Borborema","2502706",1,"19.00057","2020-05-22","0",0,5263,""
7615,"PB","Brejo do Cruz","2502805",5,"35.40575","2020-05-22","0.2",1,14122,""
7616,"PB","Caaporã","2503001",172,"787.97874","2020-05-22","0.0116",2,21828,""
7617,"PB","Cabaceiras","2503100",2,"35.64427","2020-05-22","0",0,5611,""
7618,"PB","Cabedelo","2503209",288,"425.18011","2020-05-22","0.0208",6,67736,""
7619,"PB","Cachoeira dos Índios","2503308",2,"19.52362","2020-05-22","0.5",1,10244,""
7620,"PB","Cacimba de Dentro","2503506",11,"64.00186","2020-05-22","0",0,17187,""
7621,"PB","Cacimbas","2503555",2,"27.88234","2020-05-22","0",0,7173,""
7622,"PB","Caiçara","2503605",13,"180.53048","2020-05-22","0.0769",1,7201,""
7623,"PB","Cajazeiras","2503704",43,"69.36267","2020-05-22","0.0465",2,61993,""
7624,"PB","Cajazeirinhas","2503753",1,"31.31851","2020-05-22","0",0,3193,""
7625,"PB","Caldas Brandão","2503803",8,"133.02295","2020-05-22","0",0,6014,""
7626,"PB","Campina Grande","2504009",590,"143.99692","2020-05-22","0.0169",10,409731,""
7627,"PB","Capim","2504033",20,"306.60739","2020-05-22","0.05",1,6523,""
7628,"PB","Carrapateira","2504108",1,"37.60812","2020-05-22","0",0,2659,""
7629,"PB","Casserengue","2504157",1,"13.39047","2020-05-22","0",0,7468,""
7630,"PB","Catingueira","2504207",2,"40.5515","2020-05-22","0",0,4932,""
7631,"PB","Catolé do Rocha","2504306",12,"39.28501","2020-05-22","0",0,30546,""
7632,"PB","Caturité","2504355",4,"82.44023","2020-05-22","0",0,4852,""
7633,"PB","Conceição","2504405",2,"10.5363","2020-05-22","0",0,18982,""
